"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 12, 2021","5,972.5000000","6,072.1800000","6,073.1700000","5,918.5100000","100,096,774,673","0,0"
"Nov 11, 2021","6,070.3200000","6,026.1000000","6,070.3200000","6,004.7700000","52,038,369,745","0,0"
"Nov 10, 2021","6,068.5100000","6,103.3000000","6,126.9600000","6,044.7400000","46,805,871,159","0,0"
"Nov 09, 2021","6,096.4400000","6,094.7300000","6,156.6700000","6,072.7200000","49,077,582,468","0,0"
"Nov 08, 2021","6,106.2700000","6,092.3000000","6,112.9600000","6,054.5900000","46,978,199,268","0,0"
"Nov 05, 2021","6,037.3700000","6,072.7900000","6,089.6400000","6,013.9900000","40,248,215,031","0,0"
"Nov 03, 2021","6,088.6700000","6,117.4000000","6,117.4000000","6,069.2200000","38,530,312,100","0,0"
"Nov 02, 2021","6,143.9000000","6,206.2200000","6,209.4000000","6,128.8500000","52,812,559,809","0,0"
"Nov 01, 2021","6,183.6300000","6,079.1700000","6,184.6200000","6,078.9100000","54,051,941,394","0,0"
"Oct 29, 2021","6,074.2900000","6,130.4700000","6,141.3700000","6,022.7900000","70,638,089,031","0,0"
"Oct 28, 2021","6,136.1700000","6,201.5600000","6,222.4200000","6,092.4100000","84,089,491,775","0,0"
"Oct 27, 2021","6,235.2800000","6,254.3300000","6,276.5900000","6,213.5900000","47,715,982,153","0,0"
